,video_id,video_title,upload_date,view_count,like_count,comment_count
93,wSG1T9vGaTk,3 books YOU CAN&#39;T MISS! | Ankur Warikoo #Shorts,2022-02-13,88804,11295,172
94,eQPfyoF8dy4,INVESTING? 10 things YOU MUST know! | Ankur Warikoo Hindi Video,2022-02-12,109961,4842,530
95,qk_PsIxOO3o,3 things to RUN AFTER in your 20s! | Ankur Warikoo #Shorts,2022-02-12,71966,7510,67
96,H6GHn3pEs-o,This is what I do when I&#39;m lost! | Ankur Warikoo #Shorts,2022-02-11,79863,8191,111
97,SDrpeumtOp8,4 POWERFUL ways to calmly resolve Disagreements | Ankur Warikoo Hindi,2022-02-10,125616,6506,860
98,Ghme1UBRW1c,I wish I could..... | Ankur Warikoo #Shorts,2022-02-10,90466,8030,58
99,PMcmrRZF2SQ,The BIGGEST Mistake of my Career | Ankur Warikoo #Shorts,2022-02-09,83060,5789,73
100,CmcmxPXyDuM,Atomic Habits Book Review in Hindi | Ankur Warikoo,2022-02-08,287659,15948,878
101,90zAwsRRc88,I DISAPPOINTED my Parents | Ankur Warikoo #Shorts,2022-02-08,81184,8463,97
102,Rik169B1PsU,STAY AWAY from THESE People! | Ankur Warikoo #Shorts,2022-02-07,88913,6791,160
103,YAzXcgVXNls,3 steps to better MENTAL STRENGTH! | Ankur Warikoo #Shorts,2022-02-06,109194,13909,91
104,s9J3mFM1sjo,How I track my investments in 2022 | Ankur Warikoo Hindi,2022-02-05,99580,3750,687
105,yU--QTU69Q8,3 reasons you will NOT get RICH! | Ankur Warikoo #Shorts,2022-02-05,472236,33494,274
106,aOU3LvX2GkA,Why are you STILL FRIENDS?! | Ankur Warikoo #Shorts,2022-02-04,121091,12847,193
107,JzXrbElMRsM,How to start meditation | Meditation For Beginners | Ankur Warikoo,2022-02-03,274326,12756,1234
108,pZLJ_aqWJb0,The WORST way to teach a Lesson! | Ankur Warikoo #Shorts,2022-02-03,270943,19677,368
109,f_1b_Vv8e_M,3 BEST Career Tips for your 20s! | Ankur Warikoo #Shorts,2022-02-02,162424,14903,137
110,-bX4Wp_JNiE,12 Side Income Ideas for 2022! | Replace Your Current Job! | Ankur Warikoo Hindi,2022-02-01,384152,18318,985
111,08ENZFsypLc,Become a Time Management NINJA in 2022! | Ankur Warikoo #Shorts,2022-02-01,155048,13913,124
112,cv_zngyS0E0,7 Autobiographies you CAN&#39;T miss! | Ankur Warikoo #Shorts,2022-01-31,113113,10393,215
113,_L-exNaRkKk,STOP BELIEVING THIS LIE! | Ankur Warikoo #Shorts,2022-01-30,216194,19059,316
114,peUF5SyBXJE,NFTs: How to buy and sell - Complete Guide w/ @Mohit Mamoria | Ankur Warikoo,2022-01-29,538859,20194,2630
115,_HCkTSZ42Ec,3 things BEST Friends do! | Ankur Warikoo #Shorts,2022-01-29,197615,18218,169
116,mFI1VDTSvN4,3 Promises to make with Money in 2022 | Ankur Warikoo #Shorts,2022-01-28,120922,9903,100
117,UNCQMV8RU_M,COMPLETE Tax Planning for Salaried Individuals! | Ankur Warikoo Hindi,2022-01-27,271066,11642,8636
118,03w6EuSB3B0,5 ideas to make Money Online in 2022! | Ankur Warikoo #Shorts,2022-01-27,134707,10923,90
119,NO9bTIbp5gc,3 Mistakes we make with our TIME | Ankur Warikoo #Shorts,2022-01-26,141426,14057,102
120,Y1V8xYVboLo,5 Investing ideas for 2022 | Investing For Beginners | Ankur Warikoo Hindi,2022-01-25,151748,6579,591
121,YLcdjROlfNU,3 Hacks to Control Phone Addiction | Ankur Warikoo #Shorts,2022-01-25,188715,11994,122
122,ctWCHL1-xFM,1 Question I Ask Myself Every Time | Ankur Warikoo #Shorts,2022-01-24,69948,6695,98
123,vXxb8iZpTI0,New to Investing? Try THESE 3 things! | Ankur Warikoo #Shorts,2022-01-23,134582,11117,140
124,7TSncq7QgFE,"15 Crore business in 12 months, from zero! | Reinventing my Life at 40! | Ankur Warikoo Hindi",2022-01-22,832405,38779,4044
125,wle3RwBixE4,3 TRUTHS About Life you MUST know | Ankur Warikoo #Shorts,2022-01-22,114581,10284,94
126,9Ms_JvhLg7M,5 tips to deal with Emergencies! | Ankur Warikoo #Shorts,2022-01-21,109737,8238,51
127,Oz1ows6IGHE,"Ask Me Anything! | YouTube LIVE with Ankur Warikoo | Personal Finance, Career and Life!",2022-01-20,98110,4604,381
128,0xha5eKBCFk,Should you Quit your Job and Follow your Passion? | Ankur Warikoo #Shorts,2022-01-20,133107,14092,239
129,zcqyTA7VdnU,START READING NOW! - 3 Ways | Ankur Warikoo #shorts,2022-01-19,126279,12644,105
130,yARe0aFIJBE,My relationship with MONEY | Personal Finance | Ankur Warikoo,2022-01-18,190117,13983,1985
131,HodVpya__aA,3 Challenges for YOU in 2022! | Ankur Warikoo #Shorts,2022-01-18,285938,34254,226
132,OjFOKFAe0aU,3 tips for CONSTANT Career Growth! | Ankur Warikoo #Shorts,2022-01-17,169272,14566,72
133,6T1utCLMHdE,Why do Good People Date the Wrong People? | Ankur Warikoo #Shorts,2022-01-16,294669,20736,215
134,1VbNCaMS-Lw,How to Invest a Lumpsum amount in 2022? | Ankur Warikoo Hindi,2022-01-15,511559,16858,1519
135,1BtrsVZ-Prw,"It&#39;s Natural, It&#39;s OKAY! | Ankur Warikoo #Shorts",2022-01-15,167879,12379,241
136,zLK2Ceo1U5w,You HAVE to make Sacrifices | Ankur Warikoo #Shorts,2022-01-14,221349,17685,125
137,TEjuD0UugnA,How I Create Content on YouTube! | Content Creation Process in 2022 | Ankur Warikoo Hindi,2022-01-13,237307,10866,1205
138,0JJPau8hXdY,The MOST IMPORTANT 30 Minutes of your Day | Ankur Warikoo #Shorts,2022-01-13,284581,27273,142
139,Ltrg7FfJMVA,3 things you should NEVER apologise for! | Ankur Warikoo #Shorts,2022-01-12,170816,13581,111
140,DpyMvwF4OSE,Psychology of Money Book Review | Ankur Warikoo Hindi,2022-01-11,619767,34158,1927
141,z7UrYCPbyeE,3 BIG signs of Toxic People | Ankur Warikoo #Shorts,2022-01-11,307130,20544,355
142,80A9_lBlczY,3 ways to build confidence | Ankur Warikoo #Shorts,2022-01-10,202801,19818,163
143,0grcsrwFSb4,3 Things I HATE! | Ankur Warikoo #Shorts,2022-01-09,459190,24025,349
144,jeu_AZqV8Sg,My Investing Strategy for 2022! | Ankur Warikoo Hindi,2022-01-08,348165,15691,2316
145,UHXiBN8T5-s,I was JOBLESS with NO money at 29! | Ankur Warikoo #Shorts,2022-01-08,322551,27103,449
146,mOCVhBH8NAc,3 IMPORTANT Lessons I learnt in 2021 | Ankur Warikoo #Shorts,2022-01-07,203096,16248,139
147,Hx2I7m1XEWk,Planning Your Career in 2022 | Job Planning Framework | Ankur Warikoo,2022-01-06,265685,14960,753
148,RZpBQsqvcxI,Life is ALL about 2 choices! | Ankur Warikoo #Shorts,2022-01-06,173549,18095,94
149,qhnQTeDj-fc,3 ALARMING relationship mistakes | Ankur Warikoo #Shorts,2022-01-05,840806,50668,337
150,9vUuxP4QzGM,Yeh Buy-Now-Pay-Later Kya Hai? W/ Nitin Gupta | Ankur Warikoo,2022-01-04,94595,3730,290
151,GWezJShidFg,The 3 BIGGEST Lies we hear | Ankur Warikoo #Shorts,2022-01-04,297034,25786,268
152,g8gWq41iC_k,3 HACKS to Grow YOUR Knowledge | Ankur Warikoo #Shorts,2022-01-03,417864,37252,182
153,IsME8oZMKm8,An IMPORTANT Life Lesson I learnt from my Father | Ankur Warikoo #Shorts,2022-01-02,371273,28062,188
