,video_id,video_title,upload_date,view_count,like_count,comment_count
130,yjxy2aDXRE0,Drop out of college NOW? #shorts,2022-02-19,35009,1499,38
131,eQPlHHz0W7o,Why the rich are getting RICHER!,2022-02-18,161845,8086,947
132,Kwiu95BHZkA,How RETAIL INVESTORS can invest in Startups,2022-02-17,161689,7169,1682
133,ZmyehGvmGsU,Great stock to buy!,2022-02-16,192248,6369,697
134,mob-MKBf-Pk,How to invest in volatile markets safely,2022-02-15,150894,5465,633
135,jFO7U-9M3RI,Selling my Cryptos now?,2022-02-14,197883,7788,1289
136,Bdsu5js-bqs,3 SIMPLE rules to get SUPER Rich!,2022-02-13,188023,9287,591
137,-pXIGwbnRwc,Why you should not buy BNPL/other fancy cards?,2022-02-12,103918,5147,641
138,h10GygeLL8I,Buy more or sell these FUNDAMENTALLY STRONG stocks,2022-02-11,213012,8388,1004
139,OlRXgBRvO7g,Markets falling (RBI&#39;s Monetary Policy) ?,2022-02-11,93079,5369,339
140,XgkMloGkwpU,Bitcoin vs CBDC [Central Bank Digital Currency] | Where should you invest?,2022-02-10,121160,5631,880
141,reV-oxdm_bU,Markets will CRASH 7 TIMES this year?,2022-02-09,219355,9065,589
142,z1zqLizic7Y,3 Mistakes that will make you RICH!,2022-02-08,130436,7542,466
143,hgIZij5yARs,Buy now?,2022-02-07,320846,17302,1682
144,gAfWIPnbjq0,How to make 1L in dividends?,2022-02-06,429919,15271,1134
145,ECc_0RCyYY0,Great stock to buy!,2022-02-05,277860,16423,1246
146,QlUTcW0PMvk,"Tech Meltdown, great time to buy?",2022-02-04,153768,5900,626
147,cYhdEB_oLgo,56X possible returns!,2022-02-03,335444,14206,1250
148,0mfd8MPAhEU,Invest in 0 profit firms #shorts,2022-02-03,86823,2927,43
149,Oj8QpbNdfwE,Best Investment Strategy right now? | Market Macros with Akshat,2022-02-02,147860,7661,800
150,Y0yzjw1xg3k,Buy 1/4th MRF? #shorts,2022-02-02,119931,3152,47
151,N1nIlTzOAM0,Budget Discussion 2022,2022-02-01,232536,12166,2171
152,2Ms2gG27wyA,How to make massive returns!,2022-01-31,183633,9429,624
153,jtvysmkz-qM,Stock Market will go up? #BUDGET2022,2022-01-30,144583,7206,783
154,9Tc8-LiAcDU,Buying these stocks right now,2022-01-29,305334,9419,1314
155,E0XvzM7rVak,"Top stocks gutted down, should you buy?",2022-01-28,216446,9543,1068
156,Mmv7Pt91tO4,World War 3  Impact on your portfolio,2022-01-27,213771,7921,775
157,jjnNw6Mi4Yo,Bitcoin: Buy on Dips? #shorts #cryptos,2022-01-27,64378,2259,112
158,lAfd44X_ZS8,"How to invest with Saurabh Mukherjea, Salil Desai and Akshat",2022-01-26,316456,12294,1755
159,V3We22sDi-I,Crypto Crash - Buy or Sell?,2022-01-25,170229,7606,1323
160,I3O-viCUS3A,15*15*15=1Cr? | A simple finance rule #Shorts,2022-01-25,434116,12350,340
161,SqNehYabteo,Market Crash - Reasons and Way ahead,2022-01-24,294710,18498,1135
162,zwLHJlNMlf4,Should you invest? Ft. @Ayushi Chand,2022-01-23,160399,6213,541
163,2r2eDY2qTsg,Great buying opportunity?,2022-01-22,351767,12367,904
